,Time,Temperature,Weather,Wind,Humidity
0,12:00 am,20,Overcast.,9 km/h,60%
1,12:30 am,20,Mild.,9 km/h,61%
2,1:30 am,21,Mild.,9 km/h,57%
3,2:30 am,20,Mild.,9 km/h,57%
4,3:00 am,20,Overcast.,7 km/h,56%
5,3:30 am,20,Mild.,9 km/h,51%
6,4:30 am,20,Mild.,9 km/h,62%
7,5:30 am,20,Mild.,7 km/h,64%
8,6:00 am,20,Overcast.,7 km/h,66%
9,6:30 am,20,Mild.,4 km/h,68%
10,7:30 am,19,Mild.,No wind,80%
11,8:30 am,19,Mild.,No wind,85%
12,9:30 am,20,Mild.,7 km/h,82%
13,10:30 am,20,Mild.,15 km/h,86%
14,11:30 am,20,Mild.,13 km/h,88%
15,12:00 pm,20,Rain. Low clouds.,11 km/h,91%
16,12:30 pm,20,Mild.,15 km/h,90%
17,1:30 pm,22,Mild.,26 km/h,80%
18,2:30 pm,23,Mild.,22 km/h,69%
19,3:00 pm,23,Overcast.,28 km/h,70%
20,4:30 pm,23,Mild.,24 km/h,73%
21,5:30 pm,21,Mild.,24 km/h,84%
22,6:30 pm,20,Mild.,24 km/h,88%
23,7:30 pm,20,Mild.,20 km/h,85%
24,8:30 pm,19,Mild.,20 km/h,85%
25,9:00 pm,19,Overcast.,19 km/h,82%
26,9:30 pm,19,Mild.,15 km/h,82%
27,10:30 pm,19,Mild.,13 km/h,82%
28,11:30 pm,19,Mild.,22 km/h,78%
