,Time,Temperature,Weather,Wind,Humidity
0,12:00 am,19,Passing clouds.,19 km/h,66%
1,12:30 am,20,Mild.,15 km/h,64%
2,1:30 am,19,Mild.,13 km/h,66%
3,3:00 am,20,Passing clouds.,6 km/h,64%
4,3:30 am,19,Mild.,7 km/h,68%
5,4:30 am,18,Mild.,4 km/h,72%
6,6:00 am,17,Passing clouds.,9 km/h,79%
7,6:30 am,18,Mild.,9 km/h,76%
8,7:30 am,19,Mild.,15 km/h,75%
9,8:30 am,20,Mild.,15 km/h,69%
10,9:00 am,21,Overcast.,9 km/h,68%
11,9:30 am,22,Mild.,9 km/h,64%
12,10:30 am,26,Warm.,11 km/h,51%
13,11:30 am,29,Warm.,9 km/h,44%
14,12:00 pm,28,Overcast.,9 km/h,52%
15,12:30 pm,27,Warm.,17 km/h,53%
16,1:30 pm,29,Warm.,20 km/h,51%
17,2:30 pm,26,Warm.,17 km/h,64%
18,3:00 pm,26,Overcast.,22 km/h,64%
19,3:30 pm,27,Warm.,26 km/h,55%
20,4:30 pm,26,Warm.,19 km/h,54%
21,5:30 pm,25,Warm.,19 km/h,56%
22,6:30 pm,22,Mild.,22 km/h,70%
23,7:30 pm,22,Mild.,20 km/h,73%
24,8:30 pm,22,Mild.,19 km/h,69%
25,9:00 pm,22,Overcast.,17 km/h,67%
26,9:30 pm,22,Mild.,15 km/h,51%
27,10:30 pm,21,Mild.,19 km/h,58%
28,11:30 pm,20,Mild.,11 km/h,60%
