,Time,Temperature,Weather,Wind,Humidity
0,12:00 am,16,Passing clouds.,15 km/h,72%
1,12:30 am,15,Cool.,13 km/h,73%
2,1:30 am,15,Cool.,11 km/h,75%
3,2:30 am,15,Cool.,11 km/h,75%
4,3:30 am,14,Cool.,11 km/h,79%
5,4:30 am,13,Cool.,6 km/h,85%
6,5:30 am,13,Cool.,6 km/h,85%
7,6:00 am,13,Passing clouds.,7 km/h,84%
8,6:30 am,13,Cool.,9 km/h,83%
9,8:30 am,15,Cool.,2 km/h,77%
10,9:00 am,16,Overcast.,9 km/h,73%
11,9:30 am,17,Mild.,No wind,69%
12,10:30 am,18,Mild.,13 km/h,68%
13,11:30 am,19,Mild.,20 km/h,67%
14,12:00 pm,19,Overcast.,19 km/h,67%
15,12:30 pm,19,Mild.,22 km/h,65%
16,1:30 pm,20,Mild.,22 km/h,60%
17,2:30 pm,20,Mild.,24 km/h,60%
18,3:00 pm,20,Overcast.,22 km/h,64%
19,3:30 pm,20,Mild.,22 km/h,61%
20,4:30 pm,21,Mild.,19 km/h,65%
21,5:30 pm,21,Mild.,26 km/h,67%
22,6:00 pm,20,Overcast.,28 km/h,71%
23,6:30 pm,20,Mild.,28 km/h,75%
24,7:30 pm,19,Mild.,19 km/h,76%
25,9:00 pm,19,Overcast.,17 km/h,76%
26,9:30 pm,18,Mild.,17 km/h,76%
27,10:30 pm,18,Mild.,11 km/h,76%
28,11:30 pm,17,Mild.,9 km/h,79%
