,Time,Temperature,Weather,Wind,Humidity
0,12:00 am,18,Passing clouds.,20 km/h,67%
1,12:30 am,18,Mild.,15 km/h,67%
2,1:30 am,18,Mild.,13 km/h,68%
3,2:30 am,18,Mild.,20 km/h,66%
4,3:00 am,18,Overcast.,19 km/h,65%
5,3:30 am,18,Mild.,20 km/h,63%
6,4:30 am,18,Mild.,19 km/h,63%
7,5:30 am,18,Mild.,22 km/h,63%
8,6:00 am,18,Overcast.,19 km/h,63%
9,6:30 am,18,Mild.,24 km/h,65%
10,7:30 am,18,Mild.,22 km/h,70%
11,9:00 am,18,Overcast.,15 km/h,73%
12,9:30 am,19,Mild.,15 km/h,68%
13,10:30 am,20,Mild.,20 km/h,59%
14,11:30 am,20,Mild.,24 km/h,63%
15,12:00 pm,20,Overcast.,24 km/h,60%
16,12:30 pm,20,Mild.,26 km/h,58%
17,1:30 pm,22,Mild.,26 km/h,54%
18,2:30 pm,22,Mild.,33 km/h,53%
19,3:00 pm,22,Partly sunny.,32 km/h,53%
20,3:30 pm,21,Mild.,35 km/h,57%
21,4:30 pm,22,Mild.,35 km/h,49%
22,5:30 pm,22,Mild.,32 km/h,49%
23,6:00 pm,22,Passing clouds.,28 km/h,44%
24,6:30 pm,22,Mild.,22 km/h,47%
25,7:30 pm,20,Mild.,26 km/h,54%
26,8:30 pm,18,Mild.,28 km/h,58%
27,9:00 pm,18,Passing clouds.,26 km/h,61%
28,9:30 pm,17,Mild.,19 km/h,63%
29,10:30 pm,17,Cool.,20 km/h,63%
30,11:30 pm,16,Cool.,13 km/h,68%
